"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType"
"corn","1","seed","bottom","494","o","104","test"
"bedroom","1","curtains","top","414","x","104","test"
"floor","1","lamp","top","637","o","104","test"
"urban","1","riot","top","496","o","104","filler"
"floor","1","rug","bottom","481","x","104","test"
"bicycle","1","tire","bottom","656","o","104","test"
"plastic","1","report","top","591","o","104","filler"
"hotel","1","roof","top","486","o","104","test"
"milk","1","virus","top","532","x","104","filler"
"bottle","1","coaster","bottom","468","o","104","test"
"summer","1","clothes","bottom","527","x","104","filler"
"bird","1","eye","top","495","x","104","test"
"shower","1","spout","top","526","o","104","test"
"bedroom","1","carpet","bottom","463","o","104","test"
"cowboy","1","hat","top","484","x","104","test"
"cowboy","1","boot","bottom","512","o","104","test"
"broom","1","handle","top","501","x","104","test"
"bicycle","1","seat","top","461","x","104","test"
"cane","1","sugar","top","587","o","104","filler"
"house","1","cellar","bottom","509","x","104","test"
"street","1","corner","bottom","484","x","104","test"
"mountain","1","base","bottom","497","x","104","test"
"broom","1","bristles","bottom","564","o","104","test"
"cactus","1","chipmunk","bottom","638","o","104","filler"
"milk","1","bacterium","bottom","674","o","104","filler"
"coal","1","country","bottom","601","o","104","filler"
"shower","1","drain","bottom","577","x","104","test"
"birth","1","cramp","bottom","621","x","104","filler"
"pine","1","oil","top","582","x","104","filler"
"bottle","1","cap","top","534","x","104","test"
"water","1","bird","top","538","x","104","filler"
"college","1","lake","top","574","o","104","filler"
"steam","1","turbine","bottom","470","x","104","filler"
"wood","1","freshner","bottom","527","o","104","filler"
"sugar","1","alcohol","top","566","x","104","filler"
"cable","1","brake","top","521","x","104","filler"
"urban","1","tower","bottom","496","x","104","filler"
"steam","1","lock","top","532","o","104","filler"
"flower","1","petal","top","571","o","104","test"
"birth","1","rash","top","451","o","104","filler"
"oil","1","treatment","top","486","o","104","filler"
"water","1","algae","bottom","500","o","104","filler"
"rain","1","cloud","top","572","o","104","test"
"olive","1","season","top","518","o","104","filler"
"bird","1","talon","bottom","538","o","104","test"
"street","1","light","top","466","o","104","test"
"shoe","1","soles","bottom","458","x","104","test"
"house","1","attic","top","533","o","104","test"
"coconut","1","tree","top","631","x","104","test"
"air","1","power","top","511","o","104","filler"
"fruit","1","slice","bottom","585","o","104","filler"
"tax","1","wealth","bottom","605","x","104","filler"
"job","1","language","top","497","o","104","filler"
"cable","1","pulley","bottom","537","o","104","filler"
"plastic","1","shortage","bottom","555","x","104","filler"
"student","1","vote","top","625","x","104","filler"
"bear","1","snout","top","467","x","104","test"
"family","1","garden","bottom","466","x","104","filler"
"moth","1","wing","bottom","525","o","104","filler"
"clock","1","radio","bottom","432","o","104","test"
"grain","1","law","top","529","o","104","filler"
"coal","1","town","top","497","x","104","filler"
"grain","1","controversy","bottom","483","x","104","filler"
"elephant","1","foot","bottom","515","o","104","test"
"dog","1","paw","bottom","514","o","104","test"
"chocolate","1","powder","bottom","484","o","104","filler"
"coffee","1","stain","bottom","402","o","104","filler"
"church","1","pew","bottom","449","o","104","test"
"trouser","1","hem","bottom","548","x","104","test"
"honey","1","soup","top","546","x","104","filler"
"olive","1","fertilizer","bottom","560","x","104","filler"
"air","1","current","bottom","509","x","104","filler"
"desk","1","lamp","top","832","x","104","test"
"winter","1","book","top","526","o","104","filler"
"car","1","wheels","bottom","477","o","104","test"
"nose","1","sound","top","479","x","104","filler"
"tree","1","leaves","top","473","o","104","test"
"summer","1","money","top","481","o","104","filler"
"coconut","1","milk","bottom","502","o","104","test"
"job","1","competition","bottom","581","x","104","filler"
"oil","1","moisturizer","bottom","463","x","104","filler"
"student","1","accusation","bottom","517","o","104","filler"
"horse","1","hooves","bottom","509","x","104","test"
"tree","1","roots","bottom","500","x","104","test"
"elephant","1","ear","top","515","x","104","test"
"cane","1","juice","bottom","452","x","104","filler"
"horse","1","mane","top","509","o","104","test"
"flower","1","stem","bottom","398","x","104","test"
"cactus","1","bee","top","641","x","104","filler"
"hotel","1","lobby","bottom","446","x","104","test"
"mountain","1","peak","top","450","o","104","test"
"nose","1","itch","bottom","467","o","104","filler"
"table","1","leg","bottom","495","x","104","test"
"corn","1","stalk","top","496","x","104","test"
"bear","1","claw","bottom","512","o","104","test"
"clock","1","tower","top","512","x","104","test"
"car","1","windows","top","510","x","104","test"
"mushroom","1","stalk","bottom","403","x","104","test"
"moth","1","shape","top","438","x","104","filler"
"rain","1","puddle","bottom","510","x","104","test"
"ocean","1","surface","top","418","o","104","test"
"wood","1","stove","top","487","x","104","filler"
"sugar","1","extract","bottom","448","o","104","filler"
"mushroom","1","cap","top","417","o","104","test"
"honey","1","muffin","bottom","418","o","104","filler"
"ocean","1","floor","bottom","554","x","104","test"
"trouser","1","buckle","top","471","o","104","test"
"coffee","1","tension","top","591","x","104","filler"
"tax","1","pressure","top","501","o","104","filler"
"family","1","cow","top","486","o","104","filler"
"winter","1","show","bottom","477","x","104","filler"
"college","1","property","bottom","456","x","104","filler"
"pine","1","bark","bottom","511","o","104","filler"
"fruit","1","food","top","516","x","104","filler"
"table","1","cloth","top","538","o","104","test"
"dog","1","collar","top","499","x","104","test"
"desk","1","drawer","bottom","462","o","104","test"
"church","1","steeple","top","453","x","104","test"
"shoe","1","laces","top","463","o","104","test"
"chocolate","1","shavings","top","465","x","104","filler"
