"contextWord","correct","cueWord","location","response_time","stimulus","subject_nr","trialType","typicalLocation"
"mountain","1","base","top","974","x","135","test","bottom"
"house","1","attic","bottom","744","o","135","test","top"
"ocean","1","floor","top","507","x","135","test","bottom"
"bottle","1","cap","top","622","x","135","test","top"
"street","1","light","bottom","452","o","135","test","top"
"birth","1","cramp","bottom","595","x","135","filler","filler"
"sugar","1","alcohol","top","677","x","135","filler","filler"
"college","1","property","bottom","585","x","135","filler","filler"
"bird","1","talon","bottom","495","o","135","test","bottom"
"house","1","cellar","top","639","x","135","test","bottom"
"cane","1","sugar","top","524","o","135","filler","filler"
"shoe","1","soles","top","940","x","135","test","bottom"
"pine","1","bark","bottom","621","o","135","filler","filler"
"cactus","0","bee","top","367","x","135","filler","filler"
"coconut","1","tree","top","672","x","135","test","top"
"student","1","accusation","bottom","477","o","135","filler","filler"
"cable","1","pulley","bottom","559","o","135","filler","filler"
"pine","1","oil","top","474","x","135","filler","filler"
"winter","1","show","bottom","544","x","135","filler","filler"
"hotel","1","roof","bottom","486","o","135","test","top"
"tree","0","leaves","bottom","230","o","135","test","top"
"hotel","1","lobby","top","503","x","135","test","bottom"
"bottle","1","coaster","bottom","534","o","135","test","bottom"
"clock","1","radio","bottom","593","o","135","test","bottom"
"elephant","1","foot","bottom","698","o","135","test","bottom"
"moth","1","shape","top","453","x","135","filler","filler"
"winter","1","book","top","546","o","135","filler","filler"
"olive","1","season","top","701","o","135","filler","filler"
"rain","1","puddle","top","551","x","135","test","bottom"
"grain","1","controversy","bottom","816","x","135","filler","filler"
"birth","1","rash","top","631","o","135","filler","filler"
"dog","1","collar","top","597","x","135","test","top"
"bedroom","1","carpet","bottom","557","o","135","test","bottom"
"table","1","cloth","bottom","782","o","135","test","top"
"air","0","power","top","464","o","135","filler","filler"
"coffee","1","tension","top","515","x","135","filler","filler"
"job","1","language","top","530","o","135","filler","filler"
"mountain","1","peak","bottom","546","o","135","test","top"
"floor","1","rug","top","498","x","135","test","bottom"
"flower","1","petal","bottom","481","o","135","test","top"
"mushroom","1","stalk","top","466","x","135","test","bottom"
"student","1","vote","top","461","x","135","filler","filler"
"tax","1","pressure","top","431","o","135","filler","filler"
"cane","1","juice","bottom","275","x","135","filler","filler"
"fruit","0","slice","bottom","308","o","135","filler","filler"
"olive","1","fertilizer","bottom","508","x","135","filler","filler"
"car","1","windows","top","573","x","135","test","top"
"cowboy","1","hat","top","403","x","135","test","top"
"family","1","garden","bottom","430","x","135","filler","filler"
"bear","1","claw","bottom","514","o","135","test","bottom"
"bedroom","1","curtains","top","466","x","135","test","top"
"ocean","1","surface","bottom","449","o","135","test","top"
"coffee","1","stain","bottom","495","o","135","filler","filler"
"broom","1","handle","top","674","x","135","test","top"
"air","1","current","bottom","812","x","135","filler","filler"
"clock","1","tower","top","606","x","135","test","top"
"urban","1","riot","top","427","o","135","filler","filler"
"trouser","1","buckle","bottom","603","o","135","test","top"
"plastic","1","report","top","530","o","135","filler","filler"
"coconut","1","milk","bottom","735","o","135","test","bottom"
"moth","1","wing","bottom","593","o","135","filler","filler"
"tree","1","roots","top","482","x","135","test","bottom"
"steam","1","lock","top","571","o","135","filler","filler"
"bear","1","snout","top","658","x","135","test","top"
"desk","1","lamp","top","683","x","135","test","top"
"mushroom","1","cap","bottom","509","o","135","test","top"
"desk","1","drawer","bottom","608","o","135","test","bottom"
"shoe","1","laces","bottom","531","o","135","test","top"
"dog","1","paw","bottom","529","o","135","test","bottom"
"urban","1","tower","bottom","528","x","135","filler","filler"
"shower","1","drain","top","696","x","135","test","bottom"
"summer","1","money","top","401","o","135","filler","filler"
"water","0","bird","top","398","x","135","filler","filler"
"bird","0","eye","top","416","x","135","test","top"
"corn","1","seed","bottom","605","o","135","test","bottom"
"trouser","1","hem","top","491","x","135","test","bottom"
"fruit","1","food","top","446","x","135","filler","filler"
"grain","1","law","top","508","o","135","filler","filler"
"bicycle","1","tire","bottom","560","o","135","test","bottom"
"broom","1","bristles","bottom","435","o","135","test","bottom"
"sugar","1","extract","bottom","519","o","135","filler","filler"
"church","1","pew","bottom","614","o","135","test","bottom"
"college","1","lake","top","473","o","135","filler","filler"
"family","1","cow","top","475","o","135","filler","filler"
"coal","1","country","bottom","530","o","135","filler","filler"
"summer","1","clothes","bottom","491","x","135","filler","filler"
"milk","1","bacterium","bottom","438","o","135","filler","filler"
"corn","1","stalk","top","399","x","135","test","top"
"table","1","leg","top","371","x","135","test","bottom"
"horse","1","hooves","top","422","x","135","test","bottom"
"cable","1","brake","top","445","x","135","filler","filler"
"shower","1","spout","bottom","497","o","135","test","top"
"milk","1","virus","top","447","x","135","filler","filler"
"honey","1","soup","top","1432","x","135","filler","filler"
"tax","1","wealth","bottom","617","x","135","filler","filler"
"honey","0","muffin","bottom","390","o","135","filler","filler"
"cactus","1","chipmunk","bottom","643","o","135","filler","filler"
"flower","1","stem","top","917","x","135","test","bottom"
"horse","1","mane","bottom","563","o","135","test","top"
"street","1","corner","top","593","x","135","test","bottom"
"cowboy","1","boot","bottom","544","o","135","test","bottom"
"water","1","algae","bottom","675","o","135","filler","filler"
"nose","1","sound","top","461","x","135","filler","filler"
"steam","1","turbine","bottom","1260","x","135","filler","filler"
"oil","1","treatment","top","561","o","135","filler","filler"
"elephant","1","ear","top","538","x","135","test","top"
"chocolate","1","shavings","top","500","x","135","filler","filler"
"church","1","steeple","top","360","x","135","test","top"
"chocolate","0","powder","bottom","481","o","135","filler","filler"
"oil","1","moisturizer","bottom","819","x","135","filler","filler"
