contextWord,correct,cueWord,location,response_time,stimulus,subject_nr,trialType,typicalLocation
coffee,1,tension,top,526,x,111,filler,filler
pine,1,oil,top,436,x,111,filler,filler
family,1,cow,top,390,o,111,filler,filler
bicycle,1,tire,bottom,486,o,111,test,bottom
mushroom,1,cap,bottom,350,o,111,test,top
air,1,current,bottom,475,x,111,filler,filler
nose,1,itch,bottom,370,o,111,filler,filler
horse,1,hooves,top,431,x,111,test,bottom
elephant,0,foot,bottom,370,o,111,test,bottom
bedroom,1,curtains,top,560,x,111,test,top
olive,1,fertilizer,bottom,526,x,111,filler,filler
tree,1,roots,top,558,x,111,test,bottom
tax,1,pressure,top,353,o,111,filler,filler
birth,1,rash,top,386,o,111,filler,filler
trouser,1,buckle,bottom,450,o,111,test,top
fruit,1,slice,bottom,419,o,111,filler,filler
student,1,vote,top,303,x,111,filler,filler
coal,1,country,bottom,410,o,111,filler,filler
air,1,power,top,431,o,111,filler,filler
milk,0,virus,top,382,x,111,filler,filler
trouser,1,hem,top,321,x,111,test,bottom
bear,1,snout,top,452,x,111,test,top
plastic,1,shortage,bottom,515,x,111,filler,filler
winter,1,show,bottom,461,x,111,filler,filler
clock,1,radio,bottom,411,o,111,test,bottom
corn,1,stalk,top,454,x,111,test,top
broom,1,bristles,bottom,337,o,111,test,bottom
cable,1,brake,top,542,x,111,filler,filler
fruit,1,food,top,426,x,111,filler,filler
urban,1,riot,top,339,o,111,filler,filler
bicycle,1,seat,top,376,x,111,test,top
desk,1,drawer,bottom,477,o,111,test,bottom
coffee,1,stain,bottom,580,o,111,filler,filler
steam,1,lock,top,514,o,111,filler,filler
chocolate,1,powder,bottom,450,o,111,filler,filler
sugar,1,extract,bottom,461,o,111,filler,filler
coconut,1,milk,bottom,399,o,111,test,bottom
urban,1,tower,bottom,372,x,111,filler,filler
cowboy,1,hat,top,464,x,111,test,top
olive,1,season,top,423,o,111,filler,filler
shoe,1,soles,top,446,x,111,test,bottom
street,1,corner,top,451,x,111,test,bottom
college,1,lake,top,514,o,111,filler,filler
hotel,1,lobby,top,501,x,111,test,bottom
birth,1,cramp,bottom,547,x,111,filler,filler
cowboy,1,boot,bottom,486,o,111,test,bottom
pine,1,bark,bottom,383,o,111,filler,filler
table,1,leg,top,469,x,111,test,bottom
flower,1,petal,bottom,349,o,111,test,top
coconut,1,tree,top,405,x,111,test,top
mountain,1,peak,bottom,481,o,111,test,top
bottle,1,cap,top,490,x,111,test,top
elephant,1,ear,top,490,x,111,test,top
job,1,competition,bottom,411,x,111,filler,filler
mushroom,1,stalk,top,597,x,111,test,bottom
